46190;MECHMONT                              ;46150;MECHMONT                              
46191;MERCUES                               ;46090;MERCUES                               
46192;MEYRONNE                              ;46200;MEYRONNE                              
46193;MIERS                                 ;46500;MIERS                                 
46194;MILHAC                                ;46300;MILHAC                                
46195;MOLIERES                              ;46120;MOLIERES                              
46196;MONTAMEL                              ;46310;MONTAMEL                              
46197;LE MONTAT                             ;46090;LE MONTAT                             
46198;MONTBRUN                              ;46160;MONTBRUN                              
46199;MONTCABRIER                           ;46700;MONTCABRIER                           
46200;MONTCLERA                             ;46250;MONTCLERA                             
46201;MONTCUQ                               ;46800;MONTCUQ                               
46202;MONTDOUMERC                           ;46230;MONTDOUMERC                           
46203;MONTET ET BOUXAL                      ;46210;MONTET ET BOUXAL                      
46204;MONTFAUCON                            ;46240;MONTFAUCON                            
46205;MONTGESTY                             ;46150;MONTGESTY                             
46206;MONTLAUZUN                            ;46800;MONTLAUZUN                            
46207;MONTREDON                             ;46270;MONTREDON                             
46208;MONTVALENT                            ;46600;MONTVALENT                            
46209;NADAILLAC DE ROUGE                    ;46350;NADAILLAC DE ROUGE                    
46210;NADILLAC                              ;46360;NADILLAC                              
46211;NUZEJOULS                             ;46150;NUZEJOULS                             
46212;ORNIAC                                ;46330;ORNIAC                                
46213;PADIRAC                               ;46500;PADIRAC                               
46214;PARNAC                                ;46140;PARNAC                                
46215;PAYRAC                                ;46350;PAYRAC                                
46216;PAYRIGNAC                             ;46300;PAYRIGNAC                             
46217;PERN                                  ;46170;PERN                                  
46218;PESCADOIRES                           ;46220;PESCADOIRES                           
46219;PEYRILLES                             ;46310;PEYRILLES                             
46220;PINSAC                                ;46200;PINSAC                                
46221;PLANIOLES                             ;46100;PLANIOLES                             
46222;POMAREDE                              ;46250;POMAREDE                              
46223;PONTCIRQ                              ;46150;PONTCIRQ                              
46224;PRADINES                              ;46090;PRADINES                              
46225;PRAYSSAC                              ;46220;PRAYSSAC                              
46226;PRENDEIGNES                           ;46270;PRENDEIGNES                           
46227;PROMILHANES                           ;46260;PROMILHANES                           
46228;PRUDHOMAT                             ;46130;PRUDHOMAT                             
46229;PUYBRUN                               ;46130;PUYBRUN                               
46230;PUYJOURDES                            ;46260;PUYJOURDES                            
46231;PUY L EVEQUE                          ;46700;PUY L EVEQUE                          
46232;LES QUATRE ROUTES DU LOT              ;46110;LES QUATRE ROUTES DU LOT              
46233;QUISSAC                               ;46320;QUISSAC                               
46234;RAMPOUX                               ;46340;RAMPOUX                               
46235;REILHAC                               ;46500;REILHAC                               
46236;REILHAGUET                            ;46350;REILHAGUET                            
46237;REYREVIGNES                           ;46320;REYREVIGNES                           
46238;RIGNAC                                ;46500;RIGNAC                                
46239;LE ROC                                ;46200;LE ROC                                
46240;ROCAMADOUR                            ;46500;ROCAMADOUR                            
46241;ROUFFILHAC                            ;46300;ROUFFILHAC                            
46242;RUDELLE                               ;46120;RUDELLE                               
46243;RUEYRES                               ;46120;RUEYRES                               
46244;SABADEL LATRONQUIERE                  ;46210;SABADEL LATRONQUIERE                  
46245;SABADEL LAUZES                        ;46360;SABADEL LAUZES                        
46246;SAIGNES                               ;46500;SAIGNES                               
46247;SAILLAC                               ;46260;SAILLAC                               
46248;STE ALAUZIE                           ;46170;STE ALAUZIE                           
46249;ST BRESSOU                            ;46120;ST BRESSOU                            
46250;ST CAPRAIS                            ;46250;ST CAPRAIS                            
46251;ST CERE                               ;46400;ST CERE                               
46252;ST CERNIN                             ;46360;ST CERNIN                             
46253;ST CHAMARAND                          ;46310;ST CHAMARAND                          
46254;ST CHELS                              ;46160;ST CHELS                              
46255;ST CIRGUES                            ;46210;ST CIRGUES                            
46256;ST CIRQ LAPOPIE                       ;46330;ST CIRQ LAPOPIE                       
46257;ST CIRQ MADELON                       ;46300;ST CIRQ MADELON                       
46258;ST CIRQ SOUILLAGUET                   ;46300;ST CIRQ SOUILLAGUET                   
46259;ST CLAIR                              ;46300;ST CLAIR                              
46260;STE COLOMBE                           ;46120;STE COLOMBE                           
46261;STE CROIX                             ;46800;STE CROIX                             
46262;ST CYPRIEN                            ;46800;ST CYPRIEN                            
46263;ST DAUNES                             ;46800;ST DAUNES                             
46264;ST DENIS CATUS                        ;46150;ST DENIS CATUS                        
46265;ST DENIS LES MARTEL                   ;46600;ST DENIS LES MARTEL                   
46266;ST FELIX                              ;46100;ST FELIX                              
46267;ST GERMAIN DU BEL AIR                 ;46310;ST GERMAIN DU BEL AIR                 
46268;ST GERY                               ;46330;ST GERY                               
46269;ST HILAIRE                            ;46210;ST HILAIRE                            
46270;ST JEAN DE LAUR                       ;46260;ST JEAN DE LAUR                       
46271;ST JEAN LESPINASSE                    ;46400;ST JEAN LESPINASSE                    
46272;ST JEAN MIRABEL                       ;46270;ST JEAN MIRABEL                       
46273;ST LAURENT LES TOURS                  ;46400;ST LAURENT LES TOURS                  
46274;ST LAURENT LOLMIE                     ;46800;ST LAURENT LOLMIE                     
46275;ST MARTIN DE VERS                     ;46360;ST MARTIN DE VERS                     
46276;ST MARTIN LABOUVAL                    ;46330;ST MARTIN LABOUVAL                    
46277;ST MARTIN LE REDON                    ;46700;ST MARTIN LE REDON                    
46278;ST MATRE                              ;46800;ST MATRE                              
46279;ST MAURICE EN QUERCY                  ;46120;ST MAURICE EN QUERCY                  
46280;ST MEDARD                             ;46150;ST MEDARD                             
46281;ST MEDARD DE PRESQUE                  ;46400;ST MEDARD DE PRESQUE                  
46282;ST MEDARD NICOURBY                    ;46210;ST MEDARD NICOURBY                    
46283;ST MICHEL DE BANNIERES                ;46110;ST MICHEL DE BANNIERES                
46284;ST MICHEL LOUBEJOU                    ;46130;ST MICHEL LOUBEJOU                    
46285;ST PANTALEON                          ;46800;ST PANTALEON                          
46286;ST PAUL DE VERN                       ;46400;ST PAUL DE VERN                       
46287;ST PAUL DE LOUBRESSAC                 ;46170;ST PAUL DE LOUBRESSAC                 
46288;ST PERDOUX                            ;46100;ST PERDOUX                            
46289;ST PIERRE TOIRAC                      ;46160;ST PIERRE TOIRAC                      
46290;ST PROJET                             ;46300;ST PROJET                             
46291;ST SAUVEUR LA VALLEE                  ;46240;ST SAUVEUR LA VALLEE                  
46292;ST SIMON                              ;46320;ST SIMON                              
46293;ST SOZY                               ;46200;ST SOZY                               
46294;ST SULPICE                            ;46160;ST SULPICE                            
46295;ST VINCENT DU PENDIT                  ;46400;ST VINCENT DU PENDIT                  
46296;ST VINCENT RIVE D OLT                 ;46140;ST VINCENT RIVE D OLT                 
46297;SALVIAC                               ;46340;SALVIAC                               
46298;SARRAZAC                              ;46600;SARRAZAC                              
46299;SAULIAC SUR CELE                      ;46330;SAULIAC SUR CELE                      
46300;SAUX                                  ;46800;SAUX                                  
46301;SAUZET                                ;46140;SAUZET                                
46302;SENAILLAC LATRONQUIERE                ;46210;SENAILLAC LATRONQUIERE                
46303;SENAILLAC LAUZES                      ;46360;SENAILLAC LAUZES                      
46304;SENIERGUES                            ;46240;SENIERGUES                            
46305;SERIGNAC                              ;46700;SERIGNAC                              
46306;SONAC                                 ;46320;SONAC                                 
46307;SOTURAC                               ;46700;SOTURAC                               
46308;SOUCIRAC                              ;46300;SOUCIRAC                              
46309;SOUILLAC                              ;46200;SOUILLAC                              
46310;SOULOMES                              ;46240;SOULOMES                              
46311;SOUSCEYRAC                            ;46190;SOUSCEYRAC                            
46312;STRENQUELS                            ;46110;STRENQUELS                            
46313;TAURIAC                               ;46130;TAURIAC                               
46314;TERROU                                ;46120;TERROU                                
46315;TEYSSIEU                              ;46190;TEYSSIEU                              
46316;THEDIRAC                              ;46150;THEDIRAC                              
46317;THEGRA                                ;46500;THEGRA                                
46318;THEMINES                              ;46120;THEMINES                              
46319;THEMINETTES                           ;46120;THEMINETTES                           
46320;TOUR DE FAURE                         ;46330;TOUR DE FAURE                         
46321;TOUZAC                                ;46700;TOUZAC                                
46322;TRESPOUX RASSIELS                     ;46090;TRESPOUX RASSIELS                     
46323;USSEL                                 ;46240;USSEL                                 
46324;UZECH                                 ;46310;UZECH                                 
46325;VAILLAC                               ;46240;VAILLAC                               
46326;VALPRIONDE                            ;46800;VALPRIONDE                            
46327;VALROUFIE                             ;46090;VALROUFIE                             
46328;VARAIRE                               ;46260;VARAIRE                               
46329;VAYLATS                               ;46230;VAYLATS                               
46330;VAYRAC                                ;46110;VAYRAC                                
46331;VERS                                  ;46090;VERS                                  
46332;VIAZAC                                ;46100;VIAZAC                                
46333;VIDAILLAC                             ;46260;VIDAILLAC                             
46334;LE VIGAN                              ;46300;LE VIGAN                              
46335;VILLESEQUE                            ;46090;VILLESEQUE                            
46336;VIRE SUR LOT                          ;46700;VIRE SUR LOT                          
46337;MAYRAC                                ;46200;MAYRAC                                
46338;BESSONIES                             ;46210;BESSONIES                             
46339;ST JEAN LAGINESTE                     ;46400;ST JEAN LAGINESTE                     
46340;ST PIERRE LAFEUILLE                   ;46090;ST PIERRE LAFEUILLE                   
47001;AGEN                                  ;47000;AGEN                                  
47002;AGME                                  ;47350;AGME                                  
47003;AGNAC                                 ;47800;AGNAC                                 
47004;AIGUILLON                             ;47190;AIGUILLON                             
47005;ALLEMANS DU DROPT                     ;47800;ALLEMANS DU DROPT                     
47006;ALLEZ ET CAZENEUVE                    ;47110;ALLEZ ET CAZENEUVE                    
47007;ALLONS                                ;47420;ALLONS                                
47008;AMBRUS                                ;47160;AMBRUS                                
47009;ANDIRAN                               ;47170;ANDIRAN                               
47010;ANTAGNAC                              ;47700;ANTAGNAC                              
47011;ANTHE                                 ;47370;ANTHE                                 
47012;ANZEX                                 ;47700;ANZEX                                 
47013;ARGENTON                              ;47250;ARGENTON                              
47014;ARMILLAC                              ;47800;ARMILLAC                              
47015;ASTAFFORT                             ;47220;ASTAFFORT                             
47016;AUBIAC                                ;47310;AUBIAC                                
47017;AURADOU                               ;47140;AURADOU                               
47018;AURIAC SUR DROPT                      ;47120;AURIAC SUR DROPT                      
47019;BAJAMONT                              ;47480;BAJAMONT                              
47020;BALEYSSAGUES                          ;47120;BALEYSSAGUES                          
